"id";"title";"original_publication_year";"author_id";"likes";"image_url";"small_image_url";"genre_id";"dislikes"
1;"The Hunger Games (The Hunger Games, #1)";"2008.0";2303;4780653;"https://images.gr-assets.com/books/1447303603m/2767052.jpg";"https://images.gr-assets.com/books/1447303603s/2767052.jpg";14;405136
2;"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)";"1997.0";2304;4602479;"https://images.gr-assets.com/books/1474154022m/3.jpg";"https://images.gr-assets.com/books/1474154022s/3.jpg";14;2960739
3;"Twilight (Twilight, #1)";"2005.0";2305;3866840;"https://images.gr-assets.com/books/1361039443m/41865.jpg";"https://images.gr-assets.com/books/1361039443s/41865.jpg";15;3720776
4;"To Kill a Mockingbird";"1960.0";2306;3198673;"https://images.gr-assets.com/books/1361975680m/2657.jpg";"https://images.gr-assets.com/books/1361975680s/2657.jpg";10;2818852
5;"The Great Gatsby";"1925.0";2307;2683664;"https://images.gr-assets.com/books/1490528560m/4671.jpg";"https://images.gr-assets.com/books/1490528560s/4671.jpg";10;1394447
6;"The Fault in Our Stars";"2012.0";2308;2346404;"https://images.gr-assets.com/books/1360206420m/11870085.jpg";"https://images.gr-assets.com/books/1360206420s/11870085.jpg";4;2239072
7;"The Hobbit";"1937.0";2309;2071616;"https://images.gr-assets.com/books/1372847500m/5907.jpg";"https://images.gr-assets.com/books/1372847500s/5907.jpg";7;440151
8;"The Catcher in the Rye";"1951.0";2310;2044241;"https://images.gr-assets.com/books/1398034300m/5107.jpg";"https://images.gr-assets.com/books/1398034300s/5107.jpg";5;407963
9;"Angels & Demons  (Robert Langdon, #1)";"2000.0";2311;2001311;"https://images.gr-assets.com/books/1303390735m/960.jpg";"https://images.gr-assets.com/books/1303390735s/960.jpg";10;721336
10;"Pride and Prejudice";"1813.0";2312;2035490;"https://images.gr-assets.com/books/1320399351m/1885.jpg";"https://images.gr-assets.com/books/1320399351s/1885.jpg";6;414137
11;"The Kite Runner";"2003.0";2313;1813044;"https://images.gr-assets.com/books/1484565687m/77203.jpg";"https://images.gr-assets.com/books/1484565687s/77203.jpg";10;1697003
12;"Divergent (Divergent, #1)";"2011.0";2314;1903563;"https://images.gr-assets.com/books/1328559506m/13335037.jpg";"https://images.gr-assets.com/books/1328559506s/13335037.jpg";16;132501
13;"1984";"1949.0";2315;1956832;"https://images.gr-assets.com/books/1348990566m/5470.jpg";"https://images.gr-assets.com/books/1348990566s/5470.jpg";17;1056777
14;"Animal Farm";"1945.0";2315;1881700;"https://images.gr-assets.com/books/1424037542m/7613.jpg";"https://images.gr-assets.com/books/1424037542s/7613.jpg";5;924675
15;"The Diary of a Young Girl";"1947.0";2316;1972666;"https://images.gr-assets.com/books/1358276407m/48855.jpg";"https://images.gr-assets.com/books/1358276407s/48855.jpg";17;1650898
16;"The Girl with the Dragon Tattoo (Millennium, #1)";"2005.0";2317;1808403;"https://images.gr-assets.com/books/1327868566m/2429135.jpg";"https://images.gr-assets.com/books/1327868566s/2429135.jpg";1;1284365
17;"Catching Fire (The Hunger Games, #2)";"2009.0";2303;1831039;"https://images.gr-assets.com/books/1358273780m/6148028.jpg";"https://images.gr-assets.com/books/1358273780s/6148028.jpg";13;74053
18;"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)";"1999.0";2304;1832823;"https://images.gr-assets.com/books/1499277281m/5.jpg";"https://images.gr-assets.com/books/1499277281s/5.jpg";11;131147
19;"The Fellowship of the Ring (The Lord of the Rings, #1)";"1954.0";2309;1766803;"https://images.gr-assets.com/books/1298411339m/34.jpg";"https://images.gr-assets.com/books/1298411339s/34.jpg";3;417750
20;"Mockingjay (The Hunger Games, #3)";"2010.0";2303;1719760;"https://images.gr-assets.com/books/1358275419m/7260188.jpg";"https://images.gr-assets.com/books/1358275419s/7260188.jpg";12;1663966
21;"Harry Potter and the Order of the Phoenix (Harry Potter, #5)";"2003.0";2304;1735368;"https://images.gr-assets.com/books/1387141547m/2.jpg";"https://images.gr-assets.com/books/1387141547s/2.jpg";12;222910
22;"The Lovely Bones";"2002.0";2318;1605173;"https://images.gr-assets.com/books/1457810586m/12232938.jpg";"https://images.gr-assets.com/books/1457810586s/12232938.jpg";15;1187164
23;"Harry Potter and the Chamber of Secrets (Harry Potter, #2)";"1998.0";2304;1779331;"https://images.gr-assets.com/books/1474169725m/15881.jpg";"https://images.gr-assets.com/books/1474169725s/15881.jpg";9;556180
24;"Harry Potter and the Goblet of Fire (Harry Potter, #4)";"2000.0";2304;1753043;"https://images.gr-assets.com/books/1361482611m/6.jpg";"https://images.gr-assets.com/books/1361482611s/6.jpg";10;603277
25;"Harry Potter and the Deathly Hallows (Harry Potter, #7)";"2007.0";2304;1746574;"https://images.gr-assets.com/books/1474171184m/136251.jpg";"https://images.gr-assets.com/books/1474171184s/136251.jpg";4;1367431
26;"The Da Vinci Code (Robert Langdon, #2)";"2003.0";2311;1447148;"https://images.gr-assets.com/books/1303252999m/968.jpg";"https://images.gr-assets.com/books/1303252999s/968.jpg";5;1276695
27;"Harry Potter and the Half-Blood Prince (Harry Potter, #6)";"2005.0";2304;1678823;"https://images.gr-assets.com/books/1361039191m/1.jpg";"https://images.gr-assets.com/books/1361039191s/1.jpg";8;104606
28;"Lord of the Flies";"1954.0";2319;1605019;"https://images.gr-assets.com/books/1327869409m/7624.jpg";"https://images.gr-assets.com/books/1327869409s/7624.jpg";5;1067181
29;"Romeo and Juliet";"1595.0";2320;1628519;"https://images.gr-assets.com/books/1327872146m/18135.jpg";"https://images.gr-assets.com/books/1327872146s/18135.jpg";12;224056
30;"Gone Girl";"2012.0";2321;512475;"https://images.gr-assets.com/books/1339602131m/8442457.jpg";"https://images.gr-assets.com/books/1339602131s/8442457.jpg";16;355252
31;"The Help";"2009.0";2322;1531753;"https://images.gr-assets.com/books/1346100365m/4667024.jpg";"https://images.gr-assets.com/books/1346100365s/4667024.jpg";14;81631
32;"Of Mice and Men";"1937.0";2323;1467496;"https://images.gr-assets.com/books/1437235233m/890.jpg";"https://images.gr-assets.com/books/1437235233s/890.jpg";13;274182
33;"Memoirs of a Geisha";"1997.0";2324;1300209;"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png";"https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png";13;1006760
