"id";"title";"goodreads_book_id";"best_book_id";"work_id";"books_count";"original_publication_year";"author_id";"isbn";"isbn13";"language_code";"likes";"image_url";"small_image_url";"genre_id";"dislikes"
8000;"The Red Queen: Sex and the Evolution of Human Nature";16176;16176;1254615;27;"1993.0";4493;"60556579";"9.78006055657e+12";"en-US";0;"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png";"https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png";16;0
8001;"Monster in His Eyes (Monster in His Eyes, #1)";21956060;21956060;41263669;5;"2014.0";5156;"";"";"eng";0;"https://images.gr-assets.com/books/1398071281m/21956060.jpg";"https://images.gr-assets.com/books/1398071281s/21956060.jpg";11;0
8002;"Where Are You Now?";1629007;1629007;1623108;65;"2008.0";3736;"1416566384";"9.78141656638e+12";"en-US";0;"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png";"https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png";15;0
8003;"Day of Doom (The 39 Clues: Cahills vs. Vespers, #6)";12107925;12107925;17076926;12;"2013.0";2942;"054529844X";"9.78054529844e+12";"eng";0;"https://images.gr-assets.com/books/1361785037m/12107925.jpg";"https://images.gr-assets.com/books/1361785037s/12107925.jpg";9;0
8004;"Kare Kano: His and Her Circumstances, Vol. 1";287380;287380;278812;13;"1996.0";5468;"1931514798";"9.7819315148e+12";"en-US";0;"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png";"https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png";1;0
8005;"Vision in Silver (The Others, #3)";21457243;21457243;40771712;15;"2015.0";4381;"045146527X";"9.78045146528e+12";"eng";0;"https://images.gr-assets.com/books/1404354570m/21457243.jpg";"https://images.gr-assets.com/books/1404354570s/21457243.jpg";16;0
8006;"NYPD Red 3 (NYPD Red, #3)";22674493;22674493;42179966;30;"2015.0";2472;"1478927941";"9.78147892794e+12";"";0;"https://images.gr-assets.com/books/1423508688m/22674493.jpg";"https://images.gr-assets.com/books/1423508688s/22674493.jpg";4;0
8007;"The Finkler Question";8664368;8664368;13535892;45;"2010.0";5469;"1408808870";"9.78140880887e+12";"eng";0;"https://images.gr-assets.com/books/1319018978m/8664368.jpg";"https://images.gr-assets.com/books/1319018978s/8664368.jpg";12;0
8008;"Imitation in Death (In Death, #17)";238139;238139;1269360;49;"2003.0";2792;"749934433";"9.78074993444e+12";"en-US";0;"https://images.gr-assets.com/books/1305124047m/238139.jpg";"https://images.gr-assets.com/books/1305124047s/238139.jpg";12;0
8009;"Beaches";1219954;1219954;1208431;19;"1985.0";5470;"60594772";"9.78006059477e+12";"eng";0;"https://images.gr-assets.com/books/1490973062m/1219954.jpg";"https://images.gr-assets.com/books/1490973062s/1219954.jpg";7;0
8010;"Skellig (Skellig, #1)";24271;24271;960;74;"1998.0";5471;"440229081";"9.78044022909e+12";"eng";0;"https://images.gr-assets.com/books/1320460285m/24271.jpg";"https://images.gr-assets.com/books/1320460285s/24271.jpg";15;0
8011;"An Enquiry Concerning Human Understanding";130119;130119;300449;231;"1748.0";5472;"1420926993";"9.781420927e+12";"eng";0;"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png";"https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png";1;0
8012;"I Heard That Song Before";170641;170641;1484825;71;"2007.0";3736;"743268571";"9.78074326858e+12";"eng";0;"https://images.gr-assets.com/books/1408925501m/170641.jpg";"https://images.gr-assets.com/books/1408925501s/170641.jpg";1;0
8013;"The Book with No Pictures";20821299;20821299;40167157;24;"2014.0";3848;"803741715";"9.78080374171e+12";"eng";0;"https://images.gr-assets.com/books/1400873472m/20821299.jpg";"https://images.gr-assets.com/books/1400873472s/20821299.jpg";6;0
8014;"Psycho-Cybernetics, A New Way to Get More Living Out of Life";155981;155981;150518;50;"1960.0";5473;"671700758";"9.78067170075e+12";"";0;"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png";"https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png";5;0
8015;"The Hungry Tide";4950;4950;981525;46;"2004.0";4498;"061871166X";"9.78061871167e+12";"eng";0;"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png";"https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png";1;0
8016;"Crow Lake";8646;8646;2744160;48;"2002.0";5474;"385337639";"9.78038533763e+12";"eng";0;"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png";"https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png";13;0
8017;"Don't Let Me Go";15728921;12030880;16997178;17;"2011.0";3630;"";"";"en-US";0;"https://images.gr-assets.com/books/1348261563m/15728921.jpg";"https://images.gr-assets.com/books/1348261563s/15728921.jpg";5;0
8018;"Ceremony";588234;588234;2937863;29;"1977.0";5475;"140086838";"9.78014008684e+12";"en-US";0;"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png";"https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png";12;0
8019;"Home";13152998;13152998;18153294;77;"2011.0";2539;"307594165";"9.78030759417e+12";"";0;"https://images.gr-assets.com/books/1333576666m/13152998.jpg";"https://images.gr-assets.com/books/1333576666s/13152998.jpg";6;0
8020;"Paper Girls, Vol. 1 (Paper Girls, #1)";28204534;28204534;49449510;13;"2016.0";2893;"1632156741";"9.78163215675e+12";"eng";0;"https://images.gr-assets.com/books/1458578587m/28204534.jpg";"https://images.gr-assets.com/books/1458578587s/28204534.jpg";5;0
8021;"The Breadwinner (The Breadwinner, #1)";828015;828015;1798108;64;"2000.0";5476;"888994168";"9.78088899416e+12";"eng";0;"https://images.gr-assets.com/books/1388330682m/828015.jpg";"https://images.gr-assets.com/books/1388330682s/828015.jpg";14;0
8022;"The Wanderer (Thunder Point, #1)";16000980;16000980;21762418;22;"2013.0";5336;"778314472";"9.78077831448e+12";"eng";0;"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png";"https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png";1;0
8023;"A Year in the Merde";10765;10765;878478;47;"2004.0";5477;"1582346178";"9.78158234618e+12";"en-US";0;"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png";"https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png";5;0
8024;"The Hurricane Sisters";18635039;18635039;26431596;16;"2014.0";5221;"62132520";"9.78006213253e+12";"eng";0;"https://images.gr-assets.com/books/1395873591m/18635039.jpg";"https://images.gr-assets.com/books/1395873591s/18635039.jpg";3;0
8025;"The Wretched of the Earth";66933;66933;865773;53;"1961.0";5478;"802141323";"9.78080214132e+12";"eng";0;"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png";"https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png";14;0
8026;"Deep Six (Dirk Pitt, #7)";41698;41698;1064794;57;"1984.0";3234;"1416516859";"9.78141651686e+12";"en-US";0;"https://images.gr-assets.com/books/1400897211m/41698.jpg";"https://images.gr-assets.com/books/1400897211s/41698.jpg";2;0
8027;"Secrets of the Vine: Breaking Through to Abundance";974122;974122;959019;37;"2001.0";3076;"1576739759";"9.78157673975e+12";"en-US";0;"https://images.gr-assets.com/books/1335813686m/974122.jpg";"https://images.gr-assets.com/books/1335813686s/974122.jpg";12;0
8028;"Anne Frank's Tales from the Secret Annex";58728;58728;13377363;54;"1960.0";2316;"553586386";"9.78055358638e+12";"";0;"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png";"https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png";5;0
8029;"City of Stairs (The Divine Cities, #1)";20174424;20174424;28030792;20;"2014.0";5479;"080413717X";"9.78080413717e+12";"eng";0;"https://images.gr-assets.com/books/1394545220m/20174424.jpg";"https://images.gr-assets.com/books/1394545220s/20174424.jpg";8;0
8030;"The Cradle Will Fall";512475;512475;4603746;64;"1980.0";3736;"743484274";"9.78074348428e+12";"";0;"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png";"https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png";14;0
